ATP Test Case ID,YAML File Name,Test Name,Flow Type,Excel Step Count,ATP Steps,ATP Expected
CA_01,CA_01.yaml,CA_01 - Enter camera mode,Camera,6,Open app through gallery then verify camera UI,User should be able to open the app's camera from the gallery
CA_02,CA_02.yaml,CA_02 - Open camera go back to gallery,Camera,3,"1. Open app → 2. Tap camera icon (bottom-right) → 3. Tap return (top-left)",User should be able to open the app camera and go back to gallery
CA_03,CA_03.yaml,CA_03 - Capture and print photo,Camera,7,Open camera → capture → tap Print,User should be able to capture a photo and proceed to print
CA_04,CA_04.yaml,CA_04 - Capture selfie photo,Camera,5,Open camera → selfie → capture → verify UI,User should be able to capture a selfie photo
CA_05,CA_05.yaml,CA_05 - Capture photo with flash,Camera,10,Open camera → flash → capture → preview → close → verify camera,User should be able to capture a photo with flash enabled
CA_06,CA_06.yaml,CA_06 - Capture photo with filter,Camera,6,Open camera → swipe filter → capture → verify preview,User should be able to capture a photo after applying a live filter
CA_07,CA_07.yaml,CA_07 - AR scan from camera,Camera,5,Open camera → Scan → dismiss tip → verify AR scan,User should be able to open AR scan from the camera screen
CA_E01,CA_E01.yaml,CA_E01 - Camera with permission denied,Camera,3,Attempt camera → deny permission → verify blocked,When camera permission is denied the user cannot use the camera
CA_E02,CA_E02.yaml,CA_E02 - Rapid photo capture,Camera,5,Open camera → capture 3× → verify camera still open,User should be able to capture multiple photos rapidly
CA_E03,CA_E03.yaml,CA_E03 - Camera with low storage,Camera,3,Open camera → capture → verify storage error,When storage is full capturing shows an error
CA_E04,CA_E04.yaml,CA_E04 - Rapid camera switching,Camera,5,Open camera → flip 3× → verify controls,User should be able to switch cameras repeatedly
